"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.042258917E0,9.074239153E-3,-1.234674668E-1,-2.800815841E-2,1.269291697E-1
1.052238917E0,5.976073667E-3,-1.141902745E-1,-1.592313766E-2,1.154498963E-1
1.062247917E0,-6.712786295E-3,-9.037982762E-2,-4.294195175E-3,9.073045163E-2
1.072227917E0,-9.282363486E-3,-6.224594951E-2,3.964416781E-3,6.305899700E-2
1.082236917E0,-6.008123718E-3,-6.927664161E-2,9.325139523E-3,7.015916797E-2
1.092246917E0,2.254094325E-2,-1.288498288E-1,-1.755918860E-2,1.319799137E-1
1.102225917E0,5.591765419E-3,-1.101363999E-1,-3.151297490E-2,1.146924671E-1
1.112235917E0,-8.094921894E-4,-1.524930453E-1,-1.999162575E-2,1.538000301E-1
1.122214917E0,-7.613421958E-3,-1.249473971E-1,-1.281474869E-2,1.258333581E-1
1.132224917E0,-6.999336407E-3,-1.182084811E-1,-1.473966122E-2,1.193293481E-1
1.142203917E0,-5.166654568E-3,-9.351042688E-2,-9.030435286E-3,9.408742220E-2
1.152213917E0,-6.581278760E-3,-8.692938566E-2,3.059267798E-3,8.723182012E-2
1.162223917E0,-2.705872133E-3,-9.636269867E-2,-5.416869717E-3,9.655275199E-2
1.172202917E0,3.171164319E-3,-1.000996542E-1,1.162777305E-2,1.008226272E-1
1.182212917E0,-4.522346221E-3,-1.234510946E-1,-1.573953509E-2,1.245325554E-1
1.192191917E0,6.485238243E-3,-1.047388351E-1,-1.064101886E-4,1.049394741E-1
1.202201917E0,-2.662456557E-3,-9.935062587E-2,-3.895415068E-3,9.946260501E-2
1.212211917E0,8.190925866E-3,-1.304876339E-1,3.267428675E-3,1.307852819E-1
1.222190917E0,-2.398283008E-2,-1.024970126E-1,-8.728714390E-3,1.056267210E-1
1.232200917E0,2.562302889E-2,-8.288895965E-2,1.386024455E-2,8.785912371E-2
1.242179917E0,2.242407203E-4,-9.591363251E-2,-1.032151421E-2,9.646765697E-2
1.252189917E0,2.411380772E-2,-1.156690353E-1,3.214799166E-3,1.181995617E-1
1.262168917E0,-6.725577079E-4,-1.189604330E-1,-3.218307495E-2,1.232387409E-1
1.272178917E0,6.890194472E-3,-1.298853707E-1,-2.158440729E-2,1.318467707E-1
1.282188917E0,-1.187271656E-2,-1.330270797E-1,-2.075761100E-2,1.351593273E-1
1.292167917E0,4.242538679E-3,-1.310764486E-1,-1.285684864E-2,1.317737950E-1
1.302177917E0,-2.283650173E-2,-7.045602500E-2,-1.215168357E-2,7.505478455E-2
1.312156917E0,-9.094667863E-3,-8.332048416E-2,-1.819886486E-2,8.576837848E-2
1.322166917E0,-2.633353868E-2,-9.424834549E-2,-2.102775693E-2,1.000918201E-1
1.332145917E0,-5.698824283E-3,-9.394545972E-2,-1.006657560E-2,9.465496260E-2
1.342155917E0,-1.731073676E-2,-1.108637935E-1,-1.661193053E-2,1.134301483E-1
1.352164917E0,-4.026027247E-3,-1.232850337E-1,-2.043133636E-2,1.250313878E-1
1.362144917E0,3.737156522E-3,-1.258326656E-1,-1.785735092E-3,1.259008138E-1
1.372153917E0,9.365649763E-3,-1.205923909E-1,-9.425702496E-3,1.213222321E-1
1.382133917E0,8.482756745E-3,-9.320344806E-2,-7.168681822E-3,9.386282486E-2
1.392142917E0,1.168012390E-2,-1.053299886E-1,2.315965632E-2,1.084767324E-1
1.402122917E0,1.811905950E-3,-7.120505333E-2,3.268710494E-2,7.837020768E-2
1.412131917E0,-1.170477357E-2,-8.393093348E-2,1.057058732E-2,8.539988662E-2
1.422141917E0,1.595924422E-3,-1.024964279E-1,-2.220772505E-3,1.025329047E-1
1.432120917E0,7.131830659E-3,-9.845483243E-2,3.564467230E-3,9.877713533E-2
1.442130917E0,2.470845127E-2,-1.499454135E-1,-2.006646554E-2,1.532866518E-1
1.452109917E0,-2.519419044E-4,-1.286872762E-1,-2.317133705E-2,1.307569861E-1
1.462119917E0,9.066948406E-3,-1.259905404E-1,-5.771201849E-3,1.264481419E-1
1.472098917E0,-9.384159856E-3,-8.451916337E-2,6.872817278E-3,8.531580774E-2
1.482108917E0,-1.770354174E-2,-1.223851472E-1,2.413028955E-2,1.259913113E-1
1.492118917E0,-3.273676973E-2,-9.319643140E-2,-2.029100776E-2,1.008414395E-1
1.502097917E0,-2.981458716E-3,-1.422937471E-1,-1.409997582E-2,1.430217077E-1
1.512107917E0,-1.989420108E-2,-1.283691877E-1,-3.953653336E-2,1.357849957E-1
1.522086917E0,2.668075366E-2,-1.587507355E-1,-2.104529401E-2,1.623470451E-1
1.532096917E0,-1.017431969E-2,-1.207303852E-1,-1.502500077E-2,1.220864175E-1
1.542075917E0,6.685377471E-4,-1.259665668E-1,2.309533238E-2,1.280680181E-1
1.552085917E0,-2.381070267E-2,-9.348586857E-2,1.783400774E-3,9.648698204E-2
1.562095917E0,-9.863521904E-3,-9.244038641E-2,-1.623187065E-3,9.297929254E-2
1.572074917E0,4.722430632E-3,-7.119394362E-2,-2.073422670E-3,7.138051583E-2
1.582084917E0,4.849041123E-3,-8.975476027E-2,-6.144249639E-3,9.009540495E-2
1.592063917E0,6.528781727E-4,-9.095753253E-2,-2.373960419E-3,9.099084933E-2
1.602073917E0,-8.833279051E-3,-9.559086621E-2,-3.875529966E-3,9.607632515E-2
1.612052917E0,2.508409834E-2,-1.253824300E-1,-5.040254211E-4,1.278679779E-1
1.622062917E0,1.767843526E-2,-9.768592358E-2,-1.998577396E-2,1.012644948E-1
1.632072917E0,2.465469344E-2,-1.054755843E-1,-8.039930658E-3,1.086167265E-1
1.642051917E0,-6.380426902E-3,-1.068251216E-1,-8.181433277E-3,1.073277798E-1
1.652061917E0,-1.846547049E-2,-1.219436824E-1,5.711560249E-3,1.234660164E-1
1.662040917E0,-2.913340481E-2,-9.305317461E-2,-8.568509817E-3,9.788292978E-2
1.672050917E0,-8.782170732E-3,-1.204450411E-1,2.385664443E-2,1.230986349E-1
1.682029917E0,1.520202979E-3,-9.769644856E-2,-6.521984339E-3,9.792570326E-2
1.692039917E0,-1.970937425E-2,-1.119110298E-1,-1.547291120E-2,1.146819472E-1
1.702048917E0,4.649906885E-3,-1.077162373E-1,-1.216221769E-2,1.085003638E-1
1.712046917E0,-1.312630478E-2,-1.120513630E-1,-1.347081542E-2,1.136189715E-1
1.722055917E0,-2.051696610E-3,-1.044166535E-1,1.833570798E-2,1.060341699E-1
1.732035917E0,-3.458445333E-4,-1.081600410E-1,1.171197752E-2,1.087928513E-1
1.742044917E0,-1.824217994E-2,-1.128056538E-1,1.177513202E-2,1.148762221E-1
1.752024917E0,-2.276317399E-2,-9.723861158E-2,2.952843904E-3,9.991110528E-2
1.762033917E0,-1.347783208E-2,-1.060714155E-1,5.588768721E-3,1.070702176E-1
1.772043917E0,-9.979004413E-3,-8.811052322E-2,1.765976071E-2,9.041521985E-2
1.782022917E0,1.115904562E-4,-1.069707173E-1,3.273527138E-5,1.069707805E-1
