"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.165375208E0,-1.762070131E-1,-3.630530351E-1,5.533933532E-1,6.849092065E-1
2.175354208E0,2.737695605E-2,9.976226985E-2,-2.435938164E-1,2.646506293E-1
2.185364208E0,-1.234706828E-1,1.462803787E-1,1.066076235E-1,2.191076085E-1
2.195343208E0,-1.425060010E-1,1.679215086E-1,1.236253417E-1,2.525644838E-1
2.205353208E0,4.558898628E-2,-2.266316468E-1,1.638504943E-2,2.317514376E-1
2.215363208E0,3.617087603E-3,-2.908200413E-1,2.614301813E-1,3.910692003E-1
2.225342208E0,-7.868539631E-2,-2.394487435E-1,1.317728519E-1,2.844137424E-1
2.235352208E0,-1.121691844E-1,-2.624780023E-1,3.398857820E-1,4.438456628E-1
2.245331208E0,2.528833061E-2,-2.062558544E-1,2.495710412E-2,2.092936554E-1
2.255341208E0,9.863668084E-2,-5.730271339E-2,-6.217929125E-2,1.299194367E-1
2.265320208E0,-1.602338818E-1,1.811420631E-1,8.142107463E-1,8.493682848E-1
2.275330208E0,-4.072351813E-2,-1.469487154E-1,3.525531900E-1,3.841172759E-1
2.285309208E0,-1.086070606E-1,2.949902755E-1,-1.285533567E-1,3.396184945E-1
2.295319208E0,-3.387584388E-3,1.427030522E-1,3.814898908E-1,4.073207257E-1
2.305298208E0,5.483080298E-2,-2.852739573E-2,3.697755790E-1,3.749055989E-1
2.315308208E0,1.308402210E-1,9.896704853E-2,-3.509522223E-1,3.874030234E-1
2.325317208E0,1.388541225E-1,-9.966052830E-2,-1.323563858E-1,2.161733126E-1
2.335297208E0,-1.423390630E-1,-4.108078301E-2,4.949363995E-1,5.166334088E-1
2.345306208E0,1.985439616E-1,-4.972630066E-1,-2.443598199E-1,5.885591933E-1
2.355286208E0,8.106930614E-2,-4.852592576E-1,-1.766490809E-1,5.227367188E-1
2.365295208E0,-2.609027624E-1,-1.210192376E-1,4.935400844E-1,5.712247563E-1
2.375275208E0,-3.387233555E-2,-1.610451829E-1,-2.221322143E-1,2.764518162E-1
2.385284208E0,-1.592226058E-2,-9.307948709E-2,1.741182050E-2,9.602333462E-2
2.395264208E0,-4.302849054E-2,-6.355923414E-2,4.733321071E-1,4.795148703E-1
2.405273208E0,-8.687705308E-2,1.619281125E-1,2.494410686E-1,3.098212108E-1
2.415283208E0,1.191580689E-1,-1.198228973E-1,-1.930879247E-1,2.565913459E-1
2.425262208E0,-1.874477005E-1,1.470633209E-2,2.015827596E-1,2.756601632E-1
2.435272208E0,-1.514355764E-1,-6.901059330E-2,3.411289001E-1,3.795577983E-1
2.445251208E0,2.353533536E-1,-4.780478865E-1,-2.870316303E-1,6.052339544E-1
2.455261208E0,-1.371031737E-1,2.077322763E-1,7.879777980E-1,8.263528236E-1
2.465240208E0,-8.394262791E-3,8.868355036E-2,1.883890839E-1,2.083882979E-1
2.475250208E0,1.550330758E-1,-2.652244395E-1,-2.019932524E-1,3.676690522E-1
2.485229208E0,-9.543825388E-2,-2.860381883E-1,4.142974484E-1,5.124145599E-1
2.495239208E0,-1.196226302E-1,-9.725673795E-2,1.758748730E-1,2.338812042E-1
2.505218208E0,1.764730614E-1,-2.430734324E-1,-3.960962355E-1,4.971113183E-1
2.515228208E0,-4.751184314E-2,9.855949759E-2,3.266137719E-1,3.444530531E-1
2.525238208E0,-1.328542945E-1,4.101821780E-3,2.818509789E-1,3.116200617E-1
2.535217208E0,1.762812728E-1,-2.815843642E-2,-8.818969452E-1,8.997834221E-1
2.545227208E0,2.920391858E-3,-4.758990347E-2,5.316323555E-1,5.337661370E-1
2.555206208E0,-1.572298747E-1,4.260164380E-2,4.669457781E-1,4.945447333E-1
2.565216208E0,-4.168246150E-2,-3.235667878E-1,-1.845580248E-1,3.748260374E-1
2.575195208E0,-1.264141712E-1,-4.662084442E-1,1.180997229E-1,4.972709530E-1
2.585205208E0,-1.447203416E-1,9.631124318E-2,3.946227372E-1,4.312156508E-1
2.595184208E0,-3.666116506E-2,-1.366582006E-1,-9.821683249E-2,1.722383552E-1
2.605194208E0,-7.161815912E-2,-5.524133599E-1,3.517614770E-1,6.588063582E-1
2.615173208E0,1.265188363E-1,-4.120415926E-2,1.327224580E-1,1.879362912E-1
2.625183208E0,1.129559273E-1,2.795787692E-1,-2.800453405E-1,4.115200146E-1
2.635193208E0,-2.844211408E-1,-3.514936745E-2,7.157366180E-1,7.709797467E-1
2.645172208E0,3.717630476E-2,1.625935256E-1,-6.249854009E-2,1.781145691E-1
2.655182208E0,1.651554832E-1,-5.717348993E-2,6.718916735E-2,1.872418911E-1
2.665161208E0,-2.404974416E-1,-2.068855995E-1,6.213496935E-1,6.976504227E-1
2.675171208E0,1.106614798E-2,-1.687301785E-1,-6.113964717E-2,1.798065327E-1
2.685150208E0,1.829438826E-1,-2.281852520E-1,-5.649544680E-1,6.361686288E-1
2.695160208E0,-1.829853979E-1,-8.804269552E-2,5.597177017E-1,5.954150465E-1
2.705139208E0,3.860828787E-2,1.736207896E-1,-2.580294406E-1,3.133910827E-1
2.715149208E0,9.429366142E-2,-1.466885144E-1,-4.205832052E-1,4.553010513E-1
2.725159208E0,-8.609235674E-2,-5.582863033E-2,7.104834795E-1,7.178547935E-1
2.735138208E0,-2.712874174E-2,6.696231365E-2,6.210208973E-2,9.527113743E-2
2.745148208E0,-8.556055248E-2,-2.370525545E-1,-2.808873761E-1,3.773754626E-1
2.755127208E0,-8.364003450E-2,-2.515910715E-1,5.436097920E-1,6.048184261E-1
2.765137208E0,-5.531144410E-2,-2.202897567E-1,-1.298783358E-1,2.616396660E-1
2.775116208E0,-1.044312716E-1,-1.244521379E-2,2.515006224E-2,1.081355605E-1
2.785126208E0,-6.086220592E-2,-1.492226976E-1,2.735280887E-1,3.174732066E-1
2.795105208E0,5.980327517E-2,4.300627112E-3,-4.226823556E-1,4.269136925E-1
2.805115208E0,-5.054684043E-2,1.058883977E-1,5.607082200E-1,5.728534226E-1
2.815094208E0,-3.977363795E-2,-2.195354658E-1,4.189225960E-1,4.746302819E-1
2.825104208E0,8.781348467E-3,2.515472174E-3,-4.402485609E-2,4.496251366E-2
2.835113208E0,-1.802959710E-1,-7.273877800E-2,1.783307401E-1,2.638170197E-1
2.845093208E0,6.087623924E-2,-1.436538094E-1,-9.651297212E-2,1.834586800E-1
2.855102208E0,8.633472383E-2,-4.419664729E-1,-7.874094486E-2,4.571522548E-1
2.865082208E0,-4.540099829E-2,-7.452451766E-2,3.639365494E-1,3.742525436E-1
2.875092208E0,2.842039168E-3,7.671722353E-2,-6.135202718E-1,6.183047254E-1
2.885071208E0,1.230365270E-1,1.404618144E-2,7.284695148E-2,1.436731030E-1
2.895081208E0,-4.476423651E-2,-2.719551694E-1,6.530778551E-1,7.088541006E-1
2.905060208E0,-1.269769657E-1,6.173958063E-2,-3.488448858E-2,1.454367669E-1
2.915070208E0,-7.134012401E-2,-5.532050729E-2,-3.030062234E-1,3.161685362E-1
2.925079208E0,-7.748467058E-2,-1.062444931E-1,3.622548902E-1,3.853834090E-1
2.935059208E0,2.137332737E-2,-4.791530102E-1,9.416823864E-2,4.887863373E-1
2.945068208E0,-1.252649009E-2,-1.981714940E-1,-2.631410766E-1,3.296544860E-1
2.955048208E0,-5.040299892E-2,3.625098288E-2,6.659276962E-2,9.104500550E-2
2.965057208E0,-1.015222818E-1,-7.310890675E-2,6.597729170E-1,6.715295883E-1
2.975037208E0,3.388139874E-2,-9.090198398E-2,-1.098118703E-1,1.465256521E-1
2.985046208E0,-9.820486397E-2,-1.647979259E-2,1.164590033E-1,1.532268851E-1
2.995026208E0,-9.505175292E-2,1.877131641E-2,3.590295660E-1,3.718728645E-1
3.005035208E0,2.077571270E-1,-2.228379732E-1,-3.474824846E-1,4.621297039E-1
3.015015208E0,-1.621579081E-2,-3.415610093E-1,1.594933319E-1,3.773128647E-1
3.025024208E0,-9.979267538E-2,8.355963528E-2,2.971098912E-1,3.243687379E-1
3.035034208E0,3.705819100E-2,-8.527462363E-2,-3.625156760E-1,3.742494974E-1
3.045045958E0,1.201515108E-2,-1.493618613E-1,1.979913998E-1,2.483020819E-1
3.055055958E0,-6.514441431E-2,-7.883216143E-2,5.602462900E-1,5.695034766E-1
3.065034958E0,-2.860925674E-2,-1.964079738E-2,-1.301789010E-1,1.347248928E-1
3.075044958E0,-3.522713542E-2,1.369090462E-1,-2.451456674E-1,2.829866361E-1
3.085023958E0,-1.408734584E-1,-1.146744239E-1,3.661900663E-1,4.087673170E-1
3.095033958E0,-5.727026135E-2,-2.834467024E-1,3.253742536E-2,2.909993127E-1
3.105012958E0,1.155956528E-1,-1.284492946E-1,-5.453721428E-1,5.720947040E-1
