,t,a,a_kal,v_kal
66,0.8123399167,0.01226863245,-0.009287526650438992,-0.003216454978275261
67,0.8223189167,0.02203932524,-0.009019876590915365,-0.003307799766747998
68,0.8323289167,-0.02006998301,-0.008853310599928879,-0.0033972550686381733
69,0.8423079167,-0.01428591728,-0.0086385847854628,-0.003484530880663586
70,0.8523179167,-0.01397834917,-0.00832277300610632,-0.003569422476410389
71,0.8622969167,-0.03749818484,-0.007874841995364049,-0.0036502404764602253
72,0.8723069167,0.002405549088,-0.007267791763080097,-0.003726029358421239
73,0.8823169167,0.01251538495,-0.006664099589352841,-0.0037957584746401655
74,0.8922959167,-0.01727500479,-0.006146856094034892,-0.0038596787380224284
75,0.9023059167,-0.002870982885,-0.005666207230892858,-0.003918803119963692
76,0.9122849167,-0.005192327499,-0.005265056038188055,-0.003973344658044771
77,0.9222949167,-0.0006396853924,-0.0049725086664630875,-0.004024583669391549
78,0.9322739167,0.01211893916,-0.004831718073981861,-0.004073501858712999
79,0.9422839167,0.001349537373,-0.004879260126243629,-0.004122105304605128
80,0.9522939167,-0.01070040464,-0.005052548955658694,-0.004171814009060049
81,0.9622729167,-0.03378286859,-0.005251654870463433,-0.004223226834050486
82,0.9722829167,0.000513376398,-0.0053985563622139425,-0.004276531141270036
83,0.9822619167,-0.01386726578,-0.005595174036821575,-0.0043313843590960235
84,0.9922719167,0.01556646208,-0.0058803864039521534,-0.004388819539102097
85,1.002250917,0.008038756647,-0.006369150762590883,-0.004449938606631993
86,1.012260917,0.02217966755,-0.0070616895845322875,-0.004517159962569345
87,1.022269917,-0.02435363949,-0.007908361608635506,-0.004592077583765553
88,1.032249917,-0.02987107675,-0.008674715569902446,-0.0046748271388864565
89,1.042258917,-0.02800815841,-0.009235423069319904,-0.004764458427706446
90,1.052238917,-0.01592313766,-0.009572431705935644,-0.00485830962303497
91,1.062247917,-0.004294195175,-0.009755137589778301,-0.004955034443575371
92,1.072227917,0.003964416781,-0.009874949248491277,-0.005052988576898335
93,1.082236917,0.009325139523,-0.009992703477068455,-0.0051524162449633985
94,1.092246917,-0.0175591886,-0.01009727218312549,-0.00525296657314267
95,1.102225917,-0.0315129749,-0.010055336478440393,-0.005353518014059553
96,1.112235917,-0.01999162575,-0.00977867197985256,-0.00545278722639331
97,1.122214917,-0.01281474869,-0.009300439630844943,-0.005547982453774885
98,1.132224917,-0.01473966122,-0.008686349830387186,-0.005638006335028352
99,1.142203917,-0.009030435286,-0.007996167129111924,-0.005721243753397773
100,1.152213917,0.003059267798,-0.007319028260619472,-0.005797896306323379
101,1.162223917,-0.005416869717,-0.006754098594357947,-0.005868332306232541
102,1.172202917,0.01162777305,-0.006341202675482706,-0.00593367131191841
103,1.182212917,-0.01573953509,-0.006136984372972841,-0.0059961246380959305
104,1.192191917,-0.0001064101886,-0.006087872918933299,-0.006057120563553896
105,1.202201917,-0.003895415068,-0.006229293841207543,-0.006118767983188402
106,1.212211917,0.003267428675,-0.006566973511520493,-0.006182813301288806
107,1.222190917,-0.00872871439,-0.007109779334349588,-0.006251053459613275
108,1.232200917,0.01386024455,-0.007820111004339613,-0.006325777560758413
109,1.242179917,-0.01032151421,-0.008706182153289565,-0.006408235500468405
110,1.252189917,0.003214799166,-0.009648431059107485,-0.006500100339596452
111,1.262168917,-0.03218307495,-0.0105623031695166,-0.006600941798030171
112,1.272178917,-0.02158440729,-0.011264155155515598,-0.006710183221946958
113,1.282188917,-0.020757611,-0.011702956331856777,-0.006825133614941257
114,1.292167917,-0.01285684864,-0.011863965123892338,-0.006942720769544717
115,1.302177917,-0.01215168357,-0.011765444162339395,-0.007060985963022308
116,1.312156917,-0.01819886486,-0.011408754272506054,-0.007176613626112969
117,1.322166917,-0.02102775693,-0.01077736008639682,-0.007287655128479279
118,1.332145917,-0.0100665756,-0.00988105504373027,-0.007390730290771048
